Player ID,First Name,Last Name,Team ID,Team,Roster URL,Missing Position,Missing Height,Missing Class
2563,Ana,Conde,68,Denver,,X,,
2568,Lily,Esparza,68,Denver,,X,,
15965,Natalia,Fanjul Mardones,68,Denver,,X,X,X
2143,Laila,McLeod,68,Denver,,X,,
2569,Jocelyn,Medina,68,Denver,,X,,
2566,Laia,Monclova,68,Denver,,X,,
2208,Brooke,Murrell,68,Denver,,X,,
2574,Paula,Oliva Gomez,68,Denver,,X,,
2570,Karolina,Padilla,68,Denver,,X,,
15964,Alexa,Pletschette,68,Denver,,X,X,X
2572,Anna,Rosenberger,68,Denver,,X,,
2567,Teodora,Simoncevic,68,Denver,,X,,
2565,Coryn,Watts,68,Denver,,X,,
5064,Amaris,Baker,72,Drexel,,X,,
4224,Deja,Evans,72,Drexel,,X,,
14707,Júlia,Garcia Roig,72,Drexel,,X,X,X
5065,Iriona,Gravley,72,Drexel,,X,,
5071,Emilee,Jones,72,Drexel,,X,,
5062,Laine,McGurk,72,Drexel,,X,,
5063,Grace,O'Neill,72,Drexel,,X,,
5066,Molly,Rullo,72,Drexel,,X,,
5067,Mariah,Watkins,72,Drexel,,X,,
5070,Bria,Watkins,72,Drexel,,X,,
18,Ashlon,Jackson,73,Duke,,,X,X
19,Taina,Mair,73,Duke,,,X,X
7189,Mackenzie,Blackford,74,Duquesne,,X,,
8234,Alexis,Bordas,74,Duquesne,,X,,
7174,Gabby,Grantham-Medley,74,Duquesne,,X,,
7192,Reina,Green,74,Duquesne,,X,,
7191,Kellie,McConnell,74,Duquesne,,X,,
7190,Nadia,Moore,74,Duquesne,,X,,
5287,Maja,Rohkohl,74,Duquesne,,X,,
7193,Fatou,Sane,74,Duquesne,,X,,
7194,Faith,Walker,74,Duquesne,,X,,
8233,Raevin,Washington,74,Duquesne,,X,,
6122,Dunja,Zecevic,74,Duquesne,,X,,
14766,Meghan,Downing,76,East Tennessee State,,X,X,X
17765,Dara,-Capaldi,80,Eastern Michigan,,X,X,X
12261,Olivia,Smith,80,Eastern Michigan,,X,X,X
7878,Laila,Anderson,82,Elon,,X,,
7879,Jayda,Angel,82,Elon,,X,,
7416,LaNae',Corbett,82,Elon,,X,,
7222,Kamryn,Doty,82,Elon,,X,,
7918,Ashanti,Fox,82,Elon,,X,,
1570,Quinzia,Fulmore,82,Elon,,X,,
7882,Samira,Khalil,82,Elon,,X,,
7883,Kierra,Morrow,82,Elon,,X,,
7218,Maraja,Pass,82,Elon,,X,,
4910,Tyana,Walker,82,Elon,,X,,
7917,Tamia,Watkins,82,Elon,,X,,
7219,Ruby,Willard,82,Elon,,X,,
6957,Theresa,Biladi,85,Fairleigh Dickinson,,,X,X
1575,Anasia,Staton,89,Florida Gulf Coast,,,X,X
8707,Alexis,Black,92,Fordham,,X,X,X
7479,Elle,Dias,92,Fordham,,,X,
15437,Morelia,Chavez,94,Fresno State,,X,X,X
15431,Djessira,Diawara,94,Fresno State,,X,X,X
15430,Jaisa,Gamble,94,Fresno State,,X,X,X
15435,Hedda,Koehne,94,Fresno State,,X,X,X
13546,Emilia,Long,94,Fresno State,,X,X,X
15433,Ava,Marr,94,Fresno State,,X,X,X
15436,Aloni,Oliver,94,Fresno State,,X,X,X
15429,Danae,Powell,94,Fresno State,,X,X,X
15432,Ashlyn,Rean,94,Fresno State,,X,X,X
15434,Avery,Watkins,94,Fresno State,,X,X,X
2258,Tiani,Abrams,108,Hampton,,X,,
286,Aaryn,Battle,108,Hampton,,X,,
7489,Arlisha,Boston,108,Hampton,,X,,
7485,Aisha,Dabo,108,Hampton,,X,,
6050,Kiya,Dorroh,108,Hampton,,X,,
7484,Le'Asia,Foreman,108,Hampton,,X,,
5569,Taylor,Gibson,108,Hampton,,X,,
7486,Tyra,Kennedy,108,Hampton,,X,,
185,Kayla,Lezama,108,Hampton,,X,,
15153,Kiarra,Mcelrath,108,Hampton,,X,X,X
7487,Akilah,Shelton,108,Hampton,,X,,
2944,Olivia,Smith,108,Hampton,,X,,
7488,Janaye,Walker,108,Hampton,,X,,
7720,Teyahna,Bond,110,Hawaii,,X,,
7718,Ella,Collins,110,Hawaii,,X,,
