Player ID,First Name,Last Name,Team,Season,Roster URL,Position,Height,Class
823,Ra,Shaya Kyle,Miami,2025-26,,C,,
840,Laura,Ziegler,Louisville,2025-26,,F,,
1035,Janiah,Barker,Tennessee,2025-26,,F,,
1045,Sacha,Washington,Vanderbilt,2025-26,,F,,
1046,Justine,Pissott,Vanderbilt,2025-26,,G,,
1098,Jessica,Timmons,Alabama,2025-26,,G,,
1117,Yarden,Garzon,Maryland,2025-26,,G,,
1202,Taylor,Bigby,TCU,2025-26,,G,,
1250,Ndjakalenga,Mwenentanda,Vanderbilt,2025-26,,G,,
1291,Christeen,Iwuala,Ole Miss,2025-26,,F,,
1297,Amelia,Hassett,Kentucky,2025-26,,F,,
1302,Jordan,Obi,Kentucky,2025-26,,G,,
1315,Shay,Ciezki,Indiana,2025-26,,G,,
1482,Ny'Ceara,Pryor,Texas A&M-CC,2025-26,,G,,
1492,Favour,Nwaedozi,Mississippi State,2025-26,,F,,
1536,Serah,Williams,UConn,2025-26,,F,,
1575,Anasia,Staton,Florida Gulf Coast,2025-26,,F,,
1765,Noga,Haran,Stetson,2025-26,,G,,
1803,Bailey,Maupin,Texas Tech,2025-26,,G,,
1927,Mattie,Olson,Utah Tech,2025-26,,G,,
1981,Bridget,Miller,Abilene Christian,2025-26,,F,,
1982,Hazell,Nickerson,Abilene Christian,2025-26,,F,,
1983,Alex,Sullivan,Abilene Christian,2025-26,,F,,
1984,Annelise,Dexter,Abilene Christian,2025-26,,F,,
1985,Tia,Poulakidas,Abilene Christian,2025-26,,F,,
1986,Juliet,Schwartz,Abilene Christian,2025-26,,G,,
1987,Deniz,Alparslan,Abilene Christian,2025-26,,G,,
1988,Claire,Groenewoud,Abilene Christian,2025-26,,G,,
1989,Grace,Corelli,Abilene Christian,2025-26,,G,,
1990,Ava,Sandroni,Abilene Christian,2025-26,,G,,
1991,Allison,Dauer,Abilene Christian,2025-26,,G,,
1992,Melis,Alparslan,Abilene Christian,2025-26,,G,,
1993,Macy,Bacon,Abilene Christian,2025-26,,G,,
1994,Rylee,Drahos,Abilene Christian,2025-26,,G,,
1995,Peyton,Jones,Abilene Christian,2025-26,,G,,
1996,Franki,Gomez,Abilene Christian,2025-26,,G,,
1997,Zoey,Seymour,Abilene Christian,2025-26,,G,,
1999,Madison,Williams,Incarnate Word,2025-26,,G,,JR
2000,Martina,Monton,Incarnate Word,2025-26,,G,,FR
2001,Sedelia,Wilson-Larkin,Incarnate Word,2025-26,,F,,FR
2215,Elle,Ladine,Washington,2025-26,,G,,
3258,Irene,Trujillo,Western Michigan,2025-26,,G,,FR
3471,Skye,Robinson,Norfolk State,2025-26,,F,,
3473,Nakia,Cheatham,Alcorn State,2025-26,,F,,
3618,Amaya,Battle,Minnesota,2025-26,,G,,
3983,Kamaria,Gipson,UNC Asheville,2025-26,,G,,
4803,Makensie,Charles,Nicholls,2025-26,,G,,FR
